condition,seed,generation,best_fitness,mean_fitness
crossover,1019,14,5266.754983240184,1758.995564518204
crossover,1019,15,5266.754983240184,1860.3746226747328
crossover,1019,16,5271.7018506442555,2800.5453466712434
crossover,1019,17,5271.7018506442555,3661.215443292965
crossover,1019,18,5294.619008160778,3506.767268182883
crossover,1019,19,5299.139709487778,3309.23487143471
crossover,1020,0,355.6698046271398,4.473372102554325
crossover,1020,1,355.6698046271398,26.966353420402843
crossover,1020,2,355.6698046271398,44.31127902651779
crossover,1020,3,355.6698046271398,42.073230188415636
crossover,1020,4,358.1933703513009,64.59121294822631
crossover,1020,5,358.1933703513009,76.95962903303699
crossover,1020,6,358.333623466264,82.82698306670753
crossover,1020,7,835.3074221627397,118.29098862339194
crossover,1020,8,841.7646045646501,176.8147405506588
crossover,1020,9,5173.594295566059,661.8072066684896
crossover,1020,10,5173.594295566059,1489.911598960725
crossover,1020,11,5173.594295566059,1888.502535289171
crossover,1020,12,5173.594295566059,1590.7540510611252
crossover,1020,13,5186.528462725036,2224.660335801787
crossover,1020,14,5191.749414059177,2569.407340024105
crossover,1020,15,5202.8944914719295,1975.8398918364621
crossover,1020,16,5202.8944914719295,2334.0244946150515
crossover,1020,17,5218.253305900349,2878.6195574782896
crossover,1020,18,5218.253305900349,2719.024432780791
crossover,1020,19,5225.393248784496,2230.2751384653197
crossover,1021,0,146.84071282882408,2.9656567446908473
crossover,1021,1,146.84071282882408,20.516382625904455
crossover,1021,2,176.22003009970567,30.982430587718092
crossover,1021,3,460.67777135710514,68.10253278510082
crossover,1021,4,460.67777135710514,81.17634023694518
crossover,1021,5,1219.9902593806714,190.5551928038284
crossover,1021,6,2017.3191653387664,316.0427659961629
crossover,1021,7,2653.799694391353,417.9403144716895
crossover,1021,8,3168.3880815902426,701.224426296353
crossover,1021,9,3168.3880815902426,618.2450463226966
crossover,1021,10,4976.205559357741,929.8549537109454
crossover,1021,11,4976.205559357741,808.9739150580659
crossover,1021,12,4976.205559357741,1263.6898517245252
crossover,1021,13,4976.205559357741,1051.2832191140228
crossover,1021,14,4976.205559357741,1055.7471582591668
crossover,1021,15,4991.699220694383,1519.9958069836646
crossover,1021,16,4991.699220694383,1094.9719418573525
crossover,1021,17,4991.699220694383,1263.8692725475514
crossover,1021,18,4991.699220694383,1128.012384455662
crossover,1021,19,5028.545288095856,1479.8202065160342
crossover,1022,0,64.07434103580519,1.907247165447676
crossover,1022,1,146.24449921385983,16.041801317147467
crossover,1022,2,208.7212833548645,32.56606714839449
crossover,1022,3,208.7212833548645,49.185503709798496
crossover,1022,4,345.650214539541,70.16482457904007
crossover,1022,5,360.6454233645936,91.44321489687184
crossover,1022,6,660.7454768424757,127.77620104081015
crossover,1022,7,5132.713282937609,708.3042105321421
crossover,1022,8,5203.112115213131,1160.2733868779128
crossover,1022,9,5203.112115213131,1609.347039443959
crossover,1022,10,5219.764839227713,2562.847725849354
crossover,1022,11,5219.764839227713,2424.7141087490427
crossover,1022,12,5237.3179807770775,2448.5795607761306
crossover,1022,13,5237.3179807770775,2210.6984391088345
crossover,1022,14,5255.94097650751,2562.1552279829534
crossover,1022,15,5255.94097650751,1599.8275030748364
crossover,1022,16,5255.94097650751,2209.5574543926396
crossover,1022,17,5255.94097650751,2203.455043955301
crossover,1022,18,5255.94097650751,2423.7795335729743
crossover,1022,19,5255.94097650751,1820.66310395816
crossover,1023,0,114.6295111243315,5.333949748264414
crossover,1023,1,146.37938409259613,24.507642347166687
crossover,1023,2,354.79160789489185,38.284151852555816
crossover,1023,3,357.0673126888034,97.79188180390015
crossover,1023,4,391.91278362171596,153.96154555312484
crossover,1023,5,2704.8371459789932,292.2133548959782
crossover,1023,6,2704.8371459789932,265.7610077518939
crossover,1023,7,2704.8371459789932,281.1731422238713
crossover,1023,8,2704.8371459789932,380.40635199144975
crossover,1023,9,2704.8371459789932,436.1726498185558
crossover,1023,10,2704.8371459789932,438.0396696097049
crossover,1023,11,2886.9430250276814,608.186509558521
crossover,1023,12,3175.1304757873886,674.3755501623239
crossover,1023,13,3175.1304757873886,464.6623386084206
crossover,1023,14,3175.1304757873886,483.7583395468854
crossover,1023,15,3175.1304757873886,661.2681142725252
crossover,1023,16,3317.348158301636,615.7865945740394
crossover,1023,17,5011.260382568584,618.432854628027
crossover,1023,18,5011.260382568584,671.5774296941488
crossover,1023,19,5011.260382568584,777.3083649404069
crossover,1024,0,142.80590211823923,7.991512950195189
crossover,1024,1,382.19564842378844,31.27472280217065
crossover,1024,2,382.19564842378844,42.43208045528585
crossover,1024,3,391.39703932596115,78.5084901305824
crossover,1024,4,391.53476824507226,129.0767308617756
crossover,1024,5,426.2894628989455,279.34978081570137
crossover,1024,6,2735.9979658853413,314.53984097622055
crossover,1024,7,4950.576701259891,418.79430984524095
crossover,1024,8,4950.576701259891,443.4367185305215
crossover,1024,9,5001.774105262556,625.7268064087227
crossover,1024,10,5016.653515678565,903.0353371212024
crossover,1024,11,5016.653515678565,943.339087564455
crossover,1024,12,5016.653515678565,1312.4863806014375
crossover,1024,13,5016.653515678565,1512.4964088304882
crossover,1024,14,5026.62749999952,1538.239549419029
crossover,1024,15,5026.62749999952,1910.471947943833
crossover,1024,16,5026.62749999952,1425.8008685505497
crossover,1024,17,5026.62749999952,1192.3125893051235
crossover,1024,18,5026.62749999952,1653.4759999102312
crossover,1024,19,5026.62749999952,2191.223213021472
crossover,1025,0,408.0544671846355,16.09902199915744
crossover,1025,1,408.0544671846355,39.375436954795255
crossover,1025,2,408.0544671846355,54.585177822814224
crossover,1025,3,408.0544671846355,78.28575998557137
crossover,1025,4,408.0544671846355,91.71329830690388
crossover,1025,5,2643.7648991174055,190.61895884003513
crossover,1025,6,5206.077297383487,620.1974288222544
crossover,1025,7,5232.0772635470985,1433.6123881167355
crossover,1025,8,5232.0772635470985,1570.1107889692703
crossover,1025,9,5233.748682373061,3071.9080580004074
crossover,1025,10,5261.966367036652,2488.675054231622
crossover,1025,11,5261.966367036652,2466.31522948646
crossover,1025,12,5261.966367036652,2653.6488850615524
crossover,1025,13,5282.341495905798,3546.598735223479
crossover,1025,14,5283.944547882517,2233.4566255798964
crossover,1025,15,5285.283952585745,2699.9035501695425
crossover,1025,16,5285.283952585745,2838.3395687972047
crossover,1025,17,5300.9811312241045,2874.438312752047
crossover,1025,18,5300.9811312241045,2018.585701741116
crossover,1025,19,5307.749550354337,2741.338503077113
crossover,1026,0,129.04664072407317,16.08248387365679
crossover,1026,1,215.85720961800547,33.127091489304895
crossover,1026,2,215.85720961800547,54.6239577738146
crossover,1026,3,397.1151656111056,82.63173695655215
crossover,1026,4,397.1151656111056,87.21303500142633
crossover,1026,5,397.1151656111056,129.74579399476175
crossover,1026,6,487.32632012297756,147.87612053659709
crossover,1026,7,491.5730410325666,222.86829322908125
crossover,1026,8,491.5730410325666,230.86460151752308
crossover,1026,9,493.0948342076092,272.71843119088174
crossover,1026,10,493.0948342076092,259.65789126011276
crossover,1026,11,811.2657172002226,242.46999502115884
crossover,1026,12,823.4064628707603,259.8805973125513
crossover,1026,13,823.4064628707603,298.03346070537515
crossover,1026,14,823.4064628707603,306.91400284748823
crossover,1026,15,823.4064628707603,334.7082636268564
crossover,1026,16,5051.797436170619,612.5930213158513
crossover,1026,17,5051.797436170619,1004.3820050700615
crossover,1026,18,5051.797436170619,866.5516548463745
crossover,1026,19,5066.215771146179,989.7846058887893
crossover,1027,0,120.6180939603717,2.9225188335853076
crossover,1027,1,122.06501979077552,33.05299054382739
crossover,1027,2,146.88618320659617,51.34263713096251
crossover,1027,3,150.33898446640015,57.679390160903445
crossover,1027,4,150.33898446640015,47.67130693812705
crossover,1027,5,150.33898446640015,61.374993357621435
crossover,1027,6,150.33898446640015,57.06844592493968
crossover,1027,7,150.33898446640015,61.45119328206407
crossover,1027,8,150.33898446640015,67.42971256207115
crossover,1027,9,150.365003683295,58.46784328805712
